task_id	tick	event	node	edge	position	detail
20	0	RELEASE	0	-1	-1	release_seconds=0.0
20	0	ENTER_EDGE	0	0	0	seed
20	0	MOVE	0	0	5	
20	1	NODE_SERVICE_START	2	0	5	arrival_tick=0;ready_tick=1;ZERO_MAP_THROUGH_TIME;basis=LEGACY_NODE_CONSTRAINT;upstream_edge=0
20	1	NODE_SERVICE_FINISH	2	0	5	
20	1	NODE_SERVICE_START	2	-1	-1	arrival_tick=0;ready_tick=11;INTERMEDIATE_FIXED_TRANSFER_DELAY;reconstructed_transfer_seconds=2.0;basis=HISTORICAL_OD_LOWER_ENVELOPE;upstream_edge=0
20	10	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	11	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=0;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=12
20	11	NODE_SERVICE_FINISH	2	-1	-1	
20	11	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	12	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=0;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=13
20	12	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	13	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=0;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=14
20	13	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	14	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=0;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=15
20	14	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	15	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=0;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=16
20	15	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	16	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=0;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=17
20	16	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	17	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=0;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=18
20	17	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	18	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=0;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=19
20	18	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	19	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=0;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=20
20	19	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	20	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=0;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=21
20	20	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	21	HOLD	2	2	-1	reason=LOCAL_FIFO_ENTRY_CONFLICT;entry_occupant=2;entry_occupant_state=AT_LOADING_OR_JUNCTION;retry_tick=22
20	21	SELECT	2	2	-1	free_flow_seconds=1.4;moving=1;stopped=0;eta_seconds=1.7999999999999998;equal_score_candidates=1;nodes=2>3>4
20	22	HOLD	2	2	-1	reason=ENTRY_MOVING_OCCUPANT_SNAPSHOT_GAP;entry_occupant=2;entry_occupant_state=MOVING_ON_EDGE;retry_tick=23
20	22	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	23	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=2;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=24
20	23	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	24	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=2;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=25
20	24	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	25	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=2;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=26
20	25	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	26	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=2;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=27
20	26	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	27	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=2;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=28
20	27	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	28	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=2;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=29
20	28	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	29	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=2;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=30
20	29	SELECT	2	2	-1	free_flow_seconds=1.4;moving=0;stopped=1;eta_seconds=2.2;equal_score_candidates=1;nodes=2>3>4
20	30	HOLD	2	2	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=2;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=31
